No,Name,layer1,layer2,layer3,layer4,layer5,layer6,explain_short,explain_long
1,중천건,1,1,1,1,1,1,굳쎄다,
2,중지곤,0,0,0,0,0,0,순응하다,
3,수뢰둔,0,1,0,0,0,1,막히다,
4,산수몽,1,0,0,0,1,0,어리다,
5,수천수,0,1,0,1,1,1,기다리다,
6,천수송,1,1,1,0,1,0,"소송, 재판",
7,지수사,0,0,0,0,1,0,"군대, 장수",
8,수지비,0,1,0,0,0,0,"비교,화합",
9,풍천소축,1,1,0,1,1,1,적게모음,
10,천택리,1,1,1,0,1,1,"예절, 따름",
11,지천태,0,0,0,1,1,1,크게통함,
12,천지비,1,1,1,0,0,0,답답함,
13,천화동인,1,1,1,1,0,1,"협력,협동",
14,화천대유,1,0,1,1,1,1,크게만족,
15,지산겸,0,0,0,1,0,0,겸허함,
16,뇌지예,0,0,1,0,0,0,"예측, 기교",
17,택뢰수,0,1,1,0,0,1,따르다,
18,산풍고,1,0,0,1,1,0,"벌레, 말썽",
19,지택림,0,0,0,0,1,1,"군림, 커짐",
20,풍지관,1,1,0,0,0,0,"연구, 살핌",
21,화뢰서합,1,0,1,0,0,1,"씹다, 합침",
22,산화비,1,0,0,1,0,1,"장식, 꾸밈",
23,산지박,1,0,0,0,0,0,"침몰, 강탈",
24,지뢰복,0,0,0,0,0,1,"회복, 복귀",
25,천뢰무망,1,1,1,0,0,1,"헛됨,무망",
26,산천대축,1,0,0,1,1,1,크게모음,
27,산뢰이,1,0,0,0,0,1,"봉양, 기름",
28,택풍대과,0,1,1,1,1,0,크게지나침,
29,중수감,0,1,0,0,1,0,"함몰, 난관",
30,중화리,1,0,1,1,0,1,"열정, 의욕",
31,택산함,0,1,1,1,0,0,결혼,
32,뇌풍항,0,0,1,1,1,0,"한결, 항상",
33,천산둔,1,1,1,1,0,0,"운둔, 피함",
34,뇌천대장,0,0,1,1,1,1,"힘참, 흥성",
35,화지진,1,0,1,0,0,0,"진보, 진출",
36,지화명이,0,0,0,1,0,1,풍전등화,
37,풍화가인,1,1,0,1,0,1,"집사, 여인",
38,화택규,1,0,1,0,1,1,"감시, 시기",
39,수산건,0,1,0,1,0,0,"멈춤, 고난",
40,뇌수해,0,0,1,0,1,0,"해결, 완화",
41,산택손,1,0,0,0,1,1,"손해, 줄임",
42,풍뢰익,1,1,0,0,0,1,"이익, 더함",
43,택천쾌,0,1,1,1,1,1,"붕괴, 승리",
44,천풍구,1,1,1,1,1,0,"만남, 추함",
45,택지취,0,1,1,0,0,0,"결합, 모임",
46,지풍승,0,0,0,1,1,0,"상승, 번성",
47,택수곤,0,1,1,0,1,0,"고난, 힘듬",
48,수풍정,0,1,0,1,1,0,"우물, 쉼터",
49,택화혁,0,1,1,1,0,1,"혁신,혁명",
50,화풍정,1,0,1,1,1,0,"안정, 솥",
51,중뢰진,0,0,1,0,0,1,움직임,
52,중산간,1,0,0,1,0,0,"멈춤, 정진",
53,풍산점,1,1,0,1,0,0,점점나아짐,
54,뇌택귀매,0,0,1,0,1,1,비정상결혼,
55,뇌화풍,0,0,1,1,0,1,"성장, 풍성",
56,화산려,1,0,1,1,0,0,"여행, 손님",
57,중풍손,1,1,0,1,1,0,"공손, 겸손",
58,중택태,0,1,1,0,1,1,"기쁨, 희열",
59,풍수환,1,1,0,0,1,0,"분리, 이별",
60,수택절,0,1,0,0,1,1,"절제, 절약",
61,중택중부,1,1,0,0,1,1,"믿음, 신뢰",
62,뇌산소과,0,0,1,1,0,0,조금지나침,
63,수화기제,0,1,0,1,0,1,"성취,완성",
64,화수미제,1,0,1,0,1,0,미완성,
